institution,doi,Not France
CNRS - Centre national de la recherche scientifique,6148,FALSE
INSERM - Institut National de la Santé et de la Recherche Médicale,4695,FALSE
"INRAE - Institut national de recherche pour l’agriculture, l’alimentation et l’environnement",2583,FALSE
Aix-Marseille Université,1198,FALSE
Institut Pasteur,910,FALSE
IRD - Institut de Recherche pour le Développement,847,FALSE
CEA - Commissariat à l'énergie atomique et aux énergies alternatives,661,FALSE
Sorbonne Université,635,FALSE
Université de Lorraine,528,FALSE
Université de Lille,490,FALSE
HCL - Hospices civils de Lyon,488,FALSE
Université de Bordeaux,482,FALSE
CIRAD - Centre de coopération internationale en recherche agronomique pour le développement,481,FALSE
Université Paris Cité,443,FALSE
INRIA - Institut National de Recherche en Informatique et en Automatique,431,FALSE
Université Claude Bernard - Lyon I,380,FALSE
IFREMER - Institut Français de Recherche pour l'Exploitation de la Mer,273,FALSE
Université Clermont Auvergne,267,FALSE
Université de Bourgogne,264,FALSE
Nantes Université,263,FALSE
Université de Rennes,246,FALSE
Université de Strasbourg,221,FALSE
Université de Tours,217,FALSE
Université Toulouse III - Paul Sabatier,210,FALSE
Université de Reims Champagne-Ardenne,210,FALSE
Bill & Melinda Gates Foundation,200,TRUE
Swiss National Science Foundation (SNSF),185,TRUE
Centre Hospitalier Universitaire de Rennes,184,FALSE
Université de Bretagne Occidentale - UBO,156,FALSE
Université de Franche-Comté,152,FALSE
MNHN - Muséum National d'Histoire Naturelle,152,FALSE
IRSN - Institut de Radioprotection et de Sûreté Nucléaire,148,FALSE
Université d'Angers,139,FALSE
Université de Caen Normandie,137,FALSE
Université Côte d'Azur - UniCA,137,FALSE
INRA - Institut National de la Recherche Agronomique,128,FALSE
Université Gustave Eiffel,121,FALSE
ENS Paris - Ecole normale supérieure de Paris,111,FALSE
Université Pierre et Marie Curie - Paris VI,110,FALSE
ENS Lyon - Ecole normale supérieure de Lyon,109,FALSE
ONERA - Office National d'Etudes et de Recherches Aérospatiales - The French Aerospace Lab,108,FALSE
FWF - Austrian Science Fund,107,TRUE
Université de Montpellier,102,FALSE
Ecole centrale de Lyon,100,FALSE
Université de La Réunion,97,FALSE
ESRF - European Synchrotron Radiation Facility,94,FALSE
Toulouse INP - Institut National Polytechnique de Toulouse,90,FALSE
Université de Pau et des Pays de l'Adour - UPPA,90,FALSE
UCL,89,TRUE
IMT Atlantique Bretagne - Pays de la Loire,87,FALSE
Université de Versailles Saint-Quentin-en-Yvelines,86,FALSE
Université de Picardie Jules Verne,83,FALSE
Université du Littoral Côte d'Opale,79,FALSE
ILL - Institut Laue-Langevin,74,FALSE
ETH Zurich,73,TRUE
Université de technologie de Troyes,72,FALSE
Université de Poitiers,71,FALSE
Université d'Evry-Val-d'Essonne,68,FALSE
Wellcome Trust,64,TRUE
Université d'Orléans,62,FALSE
MPG,61,TRUE
University of Cambridge,60,TRUE
Ecole polytechnique,58,FALSE
"ANSES - Agence nationale de sécurité sanitaire de l'alimentation, de l'environnement et du travail",54,FALSE
Université Savoie Mont Blanc,54,FALSE
ANSM - Agence Nationale de Sécurité des Médicaments et des produits de santé,52,FALSE
Université de Toulon,51,FALSE
Université Paris Diderot - Paris VII,50,FALSE
University of Liège,49,TRUE
KIT,49,TRUE
University of Oxford,48,TRUE
ENSTA Bretagne - Ecole nationale supérieure de techniques avancées - Bretagne,47,FALSE
CNAM - Conservatoire national des arts et métiers,46,FALSE
FZJ - ZB,44,TRUE
Université Paris Descartes - Paris V,44,FALSE
ESPCI - Ecole supérieure de physique et de chimie industrielles,44,FALSE
INSA Lyon - Institut National des Sciences Appliquées de Lyon,44,FALSE
Université de Nîmes,43,FALSE
Avignon Université,43,FALSE
Université de Rennes II Haute-Bretagne,42,FALSE
Centre Hospitalier Universitaire de Lille,42,FALSE
Imperial College London,41,TRUE
Mines Paris - Ecole nationale supérieure des Mines de Paris,41,FALSE
OpenAIRE,40,TRUE
Université de Paris Ouest Nanterre La Défense - Paris X,40,FALSE
Université de Lille II Droit et Santé,39,FALSE
La Rochelle Université,39,FALSE
LNE - Laboratoire National de Métrologie et d'Essais,34,FALSE
Stockholm University,33,TRUE
EZUS - LYON,33,FALSE
Le Mans Université,33,FALSE
University of Manchester,32,TRUE
AgroParisTech,32,FALSE
CentraleSupélec,30,FALSE
Université de Haute-Alsace,30,FALSE
Université de Bretagne Sud - UBS,30,FALSE
Uppsala University,30,TRUE
Potsdam U,30,TRUE
Université de Technologie de Compiègne,28,FALSE
University of Edinburgh,28,TRUE
Université Grenoble Alpes,28,FALSE
Université Paris-Est Créteil Val de Marne - Paris XII,27,FALSE
EnvA - Ecole nationale vétérinaire d'Alfort,26,FALSE
Consejo Superior de Investigaciones Cientificas (CSIC),25,TRUE
KTH Royal Institute of Technology,25,TRUE
Freiburg U,24,TRUE
University of Helsinki,24,TRUE
Université des Antilles,24,FALSE
University of Lausanne,23,TRUE
TU Muenchen,23,TRUE
"IFSTTAR - Institut Français des Sciences et Technologies des Transports, de l’aménagement et des Réseaux",21,FALSE
Sciences Po Paris - Institut d'Etudes Politiques de Paris,20,FALSE
DLR,20,TRUE
Tuebingen U,19,TRUE
Université Vincennes-Saint Denis - Paris VIII,19,FALSE
Bremen U,19,TRUE
Muenchen LMU,19,TRUE
JGU Mainz,18,TRUE
University of Glasgow,18,TRUE
Université Le Havre Normandie,18,FALSE
Charité - Universitätsmedizin Berlin,18,TRUE
Lund University,18,TRUE
Université de Perpignan Via Domitia,18,FALSE
Université de Lille I Sciences et technologies,16,FALSE
Milano U,16,TRUE
Centre Hospitalier Universitaire d'Orléans,16,FALSE
Université Lumière - Lyon II,16,FALSE
GFZ-Potsdam,15,TRUE
Goettingen U,15,TRUE
IRSTEA - Institut de Recherche en Sciences et Technologies pour l'Environnement et l'Agriculture,15,FALSE
GEOMAR,14,TRUE
Cardiff University,14,TRUE
University of Newcastle,14,TRUE
Université de Limoges,14,FALSE
Consiglio Nazionale Delle Ricerche (CNR),14,TRUE
EHESP - Ecole des hautes études en santé publique,14,FALSE
Charles University,13,TRUE
EURECOM,13,FALSE
Frankfurt U,13,TRUE
Centre Georges-François Leclerc (CGFL) - Centre régional de lutte contre le cancer du réseau UNICANCER,13,FALSE
Swedish University of Agricultural Sciences,12,TRUE
Leipzig U,12,TRUE
University of Gothenburg,12,TRUE
University of Birmingham,12,TRUE
Heidelberg U,12,TRUE
Karolinska Institutet,11,TRUE
Leibniz-Fonds,10,TRUE
Aalto University,10,TRUE
University of Liverpool,10,TRUE
Wuerzburg U,10,TRUE
Giessen U,10,TRUE
INSA Strasbourg - Institut National des Sciences Appliquées de Strasbourg,9,FALSE
ISARA - Institut Supérieur d'Agriculture et d'Agroalimentaire Rhône-Alpes,9,FALSE
University of Sheffield,9,TRUE
University of York,9,TRUE
Oldenburg U,9,TRUE
King's College London,8,TRUE
University of Milano-Bicocca,8,TRUE
Queen's University Belfast,8,TRUE
University of Reading,8,TRUE
University of Durham,8,TRUE
Tampere University,8,TRUE
Bielefeld U,8,TRUE
"WSL - Swiss Federal Institute for Forest, Snow and Landscape Research",8,TRUE
ENGEES - Ecole nationale du Génie de l'Eau et de l'Environnement de Strasbourg,7,FALSE
Qatar National Library,7,TRUE
UFZ,7,TRUE
TU Braunschweig,7,TRUE
PIK-Potsdam,7,TRUE
University of Borås,7,TRUE
ENAC - Ecole Nationale de l'Aviation Civile,7,FALSE
University of Bern,7,TRUE
