,doi,display_name_author_fr,display_name_author_fr_utf8
0,https://doi.org/10.1111/poms.13726,Антон Овчінніков, 
1,https://doi.org/10.1002/pro.4540,Э Н Григорян,  
2,https://doi.org/10.1016/j.chemosphere.2022.134472,Е. Бычков,. 
3,https://doi.org/10.1016/j.epsl.2022.117639,Н. М. Шапиро,. . 
4,https://doi.org/10.1002/ppsc.202400028,О. М. Lavrynenko,. . lavrynenko
5,https://doi.org/10.1016/j.dam.2024.05.030,Е. Е. Timofeeva,. . timofeeva
6,https://doi.org/10.1002/pssr.202100658,Ο. Thomas,. thomas
7,https://doi.org/10.1002/zaac.202300070,Н.Г. Наумов,.. 
8,https://doi.org/10.1016/j.jqsrt.2024.108948,А.О. Koroleva,.. koroleva
9,https://doi.org/10.1016/j.ijmm.2022.151548,A Aubert-Frambourg,a aubert-frambourg
10,https://doi.org/10.1016/j.ekir.2023.01.004,A Barbry,a barbry
11,https://doi.org/10.1016/j.ejso.2024.107959,A Bardier,a bardier
12,https://doi.org/10.1111/jsr.13838,A Besset,a besset
13,https://doi.org/10.1002/ajmg.a.63642,A Blanc,a blanc
14,https://doi.org/10.1155/2023/5706109,A Blondeau,a blondeau
15,https://doi.org/10.15252/embj.2023114415,A Bourdais,a bourdais
16,https://doi.org/10.1111/eve.14051,A Charbonnel,a charbonnel
17,https://doi.org/10.1111/ijlh.14358,A Charbonnier,a charbonnier
18,https://doi.org/10.1016/j.autrev.2024.103536,A Collet,a collet
19,https://doi.org/10.1111/dom.15015,A Cuperlier,a cuperlier
20,https://doi.org/10.1016/j.arr.2024.102354,A Delage,a delage
21,https://doi.org/10.1111/1462-2920.16151,A Delaunay,a delaunay
22,https://doi.org/10.1016/j.kint.2023.03.039,A Denys,a denys
23,https://doi.org/10.1016/j.jare.2022.03.004,A Duché,a duche
24,https://doi.org/10.1016/j.acvd.2024.01.002,A Fournier,a fournier
25,https://doi.org/10.1016/j.clgc.2024.102134,A Fritsch,a fritsch
26,https://doi.org/10.1002/ejoc.202201281,A Gaucher,a gaucher
