institution,doi
CNRS - Centre national de la recherche scientifique,5789
INSERM - Institut National de la Santé et de la Recherche Médicale,4555
"INRAE - Institut national de recherche pour l’agriculture, l’alimentation et l’environnement",2359
Aix-Marseille Université,1141
Institut Pasteur,825
IRD - Institut de Recherche pour le Développement,720
CEA - Commissariat à l'énergie atomique et aux énergies alternatives,639
Sorbonne Université,607
HCL - Hospices civils de Lyon,477
Université de Lorraine,474
Université de Lille,474
Université de Bordeaux,466
Université Paris Cité,432
CIRAD - Centre de coopération internationale en recherche agronomique pour le développement,424
INRIA - Institut National de Recherche en Informatique et en Automatique,413
Université Claude Bernard - Lyon I,353
IFREMER - Institut Français de Recherche pour l'Exploitation de la Mer,266
Nantes Université,248
Université Clermont Auvergne,248
Université de Bourgogne,244
Université de Rennes,234
Université de Strasbourg,211
Université de Tours,209
Université de Reims Champagne-Ardenne,197
Université Toulouse III - Paul Sabatier,196
Bill & Melinda Gates Foundation,174
Centre Hospitalier Universitaire de Rennes,173
Swiss National Science Foundation (SNSF),150
Université de Bretagne Occidentale - UBO,147
MNHN - Muséum National d'Histoire Naturelle,146
IRSN - Institut de Radioprotection et de Sûreté Nucléaire,143
Université de Franche-Comté,141
Université d'Angers,135
Université de Caen Normandie,132
Université Côte d'Azur - UniCA,130
INRA - Institut National de la Recherche Agronomique,119
ENS Lyon - Ecole normale supérieure de Lyon,107
ENS Paris - Ecole normale supérieure de Paris,101
Université Pierre et Marie Curie - Paris VI,101
Université Gustave Eiffel,100
Université de Montpellier,98
ONERA - Office National d'Etudes et de Recherches Aérospatiales - The French Aerospace Lab,93
Université de Pau et des Pays de l'Adour - UPPA,89
Université de La Réunion,87
ESRF - European Synchrotron Radiation Facility,81
Ecole centrale de Lyon,81
IMT Atlantique Bretagne - Pays de la Loire,81
FWF - Austrian Science Fund,80
Université du Littoral Côte d'Opale,79
Université de Picardie Jules Verne,78
Université de Versailles Saint-Quentin-en-Yvelines,77
Toulouse INP - Institut National Polytechnique de Toulouse,76
Université de technologie de Troyes,69
ILL - Institut Laue-Langevin,67
UCL,64
Université de Poitiers,64
Université d'Orléans,60
Université d'Evry-Val-d'Essonne,59
ETH Zurich,57
"ANSES - Agence nationale de sécurité sanitaire de l'alimentation, de l'environnement et du travail",54
Ecole polytechnique,52
MPG,51
Wellcome Trust,51
Université Savoie Mont Blanc,50
Université de Toulon,49
CNAM - Conservatoire national des arts et métiers,47
ANSM - Agence Nationale de Sécurité des Médicaments et des produits de santé,46
Université Paris Diderot - Paris VII,45
KIT,43
ESPCI - Ecole supérieure de physique et de chimie industrielles,43
Centre Hospitalier Universitaire de Lille,42
INSA Lyon - Institut National des Sciences Appliquées de Lyon,41
Université Paris Descartes - Paris V,41
Mines Paris - Ecole nationale supérieure des Mines de Paris,40
FZJ - ZB,40
University of Liège,40
University of Cambridge,39
Université de Lille II Droit et Santé,39
Université de Nîmes,39
ENSTA Bretagne - Ecole nationale supérieure de techniques avancées - Bretagne,38
University of Oxford,37
Avignon Université,37
Université de Rennes II Haute-Bretagne,36
OpenAIRE,35
Université de Paris Ouest Nanterre La Défense - Paris X,34
La Rochelle Université,34
LNE - Laboratoire National de Métrologie et d'Essais,33
Imperial College London,31
Université de Haute-Alsace,30
EZUS - LYON,30
Stockholm University,29
Potsdam U,27
AgroParisTech,27
University of Manchester,26
