,institution,doi,Not France
0,CNRS - Centre national de la recherche scientifique,5724,False
1,INSERM - Institut National de la Santé et de la Recherche Médicale,4521,False
2,"INRAE - Institut national de recherche pour l’agriculture, l’alimentation et l’environnement",2321,False
3,Aix-Marseille Université,1114,False
4,Institut Pasteur,820,False
5,IRD - Institut de Recherche pour le Développement,705,False
6,CEA - Commissariat à l'énergie atomique et aux énergies alternatives,635,False
7,Sorbonne Université,603,False
8,HCL - Hospices civils de Lyon,476,False
9,Université de Lille,470,False
10,Université de Lorraine,466,False
11,Université de Bordeaux,461,False
12,Université Paris Cité,426,False
13,CIRAD - Centre de coopération internationale en recherche agronomique pour le développement,412,False
14,INRIA - Institut National de Recherche en Informatique et en Automatique,408,False
15,Université Claude Bernard - Lyon I,350,False
16,IFREMER - Institut Français de Recherche pour l'Exploitation de la Mer,264,False
17,Université Clermont Auvergne,243,False
18,Université de Bourgogne,242,False
19,Nantes Université,237,False
20,Université de Rennes,229,False
21,Université de Strasbourg,209,False
22,Université de Tours,209,False
23,Université de Reims Champagne-Ardenne,193,False
24,Université Toulouse III - Paul Sabatier,192,False
25,Bill & Melinda Gates Foundation,173,True
26,Centre Hospitalier Universitaire de Rennes,168,False
27,Swiss National Science Foundation (SNSF),149,True
28,Université de Bretagne Occidentale - UBO,147,False
29,MNHN - Muséum National d'Histoire Naturelle,142,False
30,IRSN - Institut de Radioprotection et de Sûreté Nucléaire,141,False
31,Université de Franche-Comté,136,False
32,Université d'Angers,132,False
33,Université de Caen Normandie,131,False
34,Université Côte d'Azur - UniCA,128,False
35,INRA - Institut National de la Recherche Agronomique,119,False
36,ENS Lyon - Ecole normale supérieure de Lyon,105,False
37,Université Pierre et Marie Curie - Paris VI,101,False
38,ENS Paris - Ecole normale supérieure de Paris,101,False
39,Université de Montpellier,98,False
40,Université Gustave Eiffel,96,False
41,ONERA - Office National d'Etudes et de Recherches Aérospatiales - The French Aerospace Lab,90,False
42,Université de La Réunion,86,False
43,Université de Pau et des Pays de l'Adour - UPPA,84,False
44,ESRF - European Synchrotron Radiation Facility,81,False
45,IMT Atlantique Bretagne - Pays de la Loire,79,False
46,FWF - Austrian Science Fund,79,True
47,Université du Littoral Côte d'Opale,78,False
48,Ecole centrale de Lyon,78,False
49,Université de Picardie Jules Verne,75,False
50,Université de Versailles Saint-Quentin-en-Yvelines,74,False
51,Toulouse INP - Institut National Polytechnique de Toulouse,73,False
52,Université de technologie de Troyes,69,False
53,ILL - Institut Laue-Langevin,67,False
54,UCL,63,True
55,Université de Poitiers,62,False
56,Université d'Evry-Val-d'Essonne,59,False
57,Université d'Orléans,58,False
58,ETH Zurich,57,True
59,"ANSES - Agence nationale de sécurité sanitaire de l'alimentation, de l'environnement et du travail",54,False
60,Ecole polytechnique,52,False
61,MPG,51,True
62,Wellcome Trust,50,True
63,Université de Toulon,48,False
64,Université Savoie Mont Blanc,47,False
65,ANSM - Agence Nationale de Sécurité des Médicaments et des produits de santé,46,False
66,CNAM - Conservatoire national des arts et métiers,45,False
67,Université Paris Diderot - Paris VII,44,False
68,KIT,43,True
69,Centre Hospitalier Universitaire de Lille,42,False
70,INSA Lyon - Institut National des Sciences Appliquées de Lyon,41,False
71,Université Paris Descartes - Paris V,41,False
72,ESPCI - Ecole supérieure de physique et de chimie industrielles,41,False
73,University of Liège,40,True
74,Mines Paris - Ecole nationale supérieure des Mines de Paris,39,False
75,University of Cambridge,39,True
76,Université de Lille II Droit et Santé,39,False
77,FZJ - ZB,38,True
78,Avignon Université,37,False
79,University of Oxford,36,True
80,Université de Nîmes,35,False
81,Université de Rennes II Haute-Bretagne,34,False
82,Université de Paris Ouest Nanterre La Défense - Paris X,34,False
83,OpenAIRE,34,True
84,La Rochelle Université,34,False
85,ENSTA Bretagne - Ecole nationale supérieure de techniques avancées - Bretagne,34,False
86,LNE - Laboratoire National de Métrologie et d'Essais,33,False
87,Imperial College London,31,True
88,EZUS - LYON,29,False
89,Stockholm University,29,True
90,Université de Haute-Alsace,28,False
91,Potsdam U,27,True
92,University of Manchester,26,True
93,AgroParisTech,26,False
94,EnvA - Ecole nationale vétérinaire d'Alfort,25,False
95,Université Grenoble Alpes,25,False
96,Université de Technologie de Compiègne,24,False
97,Université de Bretagne Sud - UBS,24,False
98,Le Mans Université,24,False
99,Université Paris-Est Créteil Val de Marne - Paris XII,24,False
100,CentraleSupélec,23,False
101,University of Lausanne,21,True
102,University of Edinburgh,21,True
103,"IFSTTAR - Institut Français des Sciences et Technologies des Transports, de l’aménagement et des Réseaux",20,False
104,Consejo Superior de Investigaciones Cientificas (CSIC),20,True
105,Tuebingen U,20,True
106,Uppsala University,19,True
107,Université des Antilles,19,False
108,TU Muenchen,19,True
109,Freiburg U,19,True
110,University of Helsinki,18,True
111,Bremen U,18,True
112,Université de Perpignan Via Domitia,18,False
113,DLR,17,True
114,Charité - Universitätsmedizin Berlin,16,True
115,Sciences Po Paris - Institut d'Etudes Politiques de Paris,16,False
116,Université Le Havre Normandie,16,False
117,Lund University,16,True
118,Université Lumière - Lyon II,15,False
119,JGU Mainz,15,True
120,Université Vincennes-Saint Denis - Paris VIII,14,False
121,Université de Limoges,14,False
122,Université de Lille I Sciences et technologies,13,False
123,Muenchen LMU,13,True
124,KTH Royal Institute of Technology,13,True
125,Centre Hospitalier Universitaire d'Orléans,13,False
126,Cardiff University,13,True
127,Goettingen U,13,True
128,University of Newcastle,12,True
129,Milano U,12,True
130,Heidelberg U,12,True
131,GFZ-Potsdam,12,True
132,EHESP - Ecole des hautes études en santé publique,12,False
133,GEOMAR,12,True
134,Centre Georges-François Leclerc (CGFL) - Centre régional de lutte contre le cancer du réseau UNICANCER,11,False
135,Leibniz-Fonds,11,True
136,IRSTEA - Institut de Recherche en Sciences et Technologies pour l'Environnement et l'Agriculture,11,False
137,Leipzig U,10,True
138,University of Gothenburg,10,True
139,Charles University,10,True
140,Consiglio Nazionale Delle Ricerche (CNR),10,True
141,EURECOM,10,False
142,Frankfurt U,9,True
143,University of Glasgow,9,True
144,Swedish University of Agricultural Sciences,9,True
145,University of Liverpool,9,True
146,INSA Strasbourg - Institut National des Sciences Appliquées de Strasbourg,8,False
147,Oldenburg U,8,True
148,"WSL - Swiss Federal Institute for Forest, Snow and Landscape Research",8,True
149,Tampere University,8,True
150,University of York,8,True
151,University of Reading,8,True
152,University of Birmingham,8,True
153,King's College London,7,True
154,Aalto University,7,True
155,ENGEES - Ecole nationale du Génie de l'Eau et de l'Environnement de Strasbourg,7,False
156,Giessen U,7,True
157,Wuerzburg U,7,True
158,University of Borås,7,True
159,ENAC - Ecole Nationale de l'Aviation Civile,6,False
160,Karolinska Institutet,6,True
161,Bielefeld U,6,True
162,University of Milano-Bicocca,6,True
163,University of Sheffield,6,True
164,Ulm U,5,True
165,IST Austria,5,True
166,University of Debrecen,5,True
167,TU Dresden,5,True
168,Eawag - Swiss Federal Institute of Aquatic Science and Technology,5,True
169,Erlangen Nuernberg U,5,True
170,University of Bern,5,True
171,University of Durham,5,True
172,ISARA - Institut Supérieur d'Agriculture et d'Agroalimentaire Rhône-Alpes,5,False
173,Luleå University of Technology,5,True
174,Qatar National Library,5,True
175,PIK-Potsdam,5,True
176,Université Jean Moulin - Lyon III,5,False
177,TU Braunschweig,5,True
178,UFZ,4,True
179,University of Turku,4,True
180,University of Dundee,4,True
181,Institute of Cancer Research,4,True
182,FU Berlin,4,True
183,Université Toulouse - Jean Jaurès,4,False
184,University of Exeter,4,True
185,Université Bordeaux Montaigne,4,False
186,IMT Mines Alès,4,True
187,Université Panthéon-Sorbonne - Paris I,4,False
188,Université Paris-Est Marne-la-Vallée,4,False
189,University of Jyväskylä,4,True
190,Université Polytechnique Hauts-de-France,4,False
191,Regensburg U,4,True
192,Saarland U,4,True
193,Münster U,4,True
194,TU Darmstadt,4,True
195,Hamburg TUHH,3,True
196,Dortmund TU,3,True
197,Hannover U,3,True
198,"Queen Mary, University of London",3,True
199,Kassel U,3,True
200,MHB Fontane,3,True
201,Liverpool School of Tropical Medicine,3,True
202,University of Calgary,3,True
203,University of Bristol,3,True
204,University of St Andrews,3,True
205,Universitat de Barcelona,3,True
206,VTT Technical Research Centre of Finland Ltd,3,True
207,University of Ferrara,3,True
208,Bayreuth U,3,True
209,Alfred-Wegener-Institut,3,True
210,Bangor University,2,True
211,Bochum U,2,True
212,VSB - Technical University of Ostrava,2,True
213,University of Bath,2,True
214,Université de la Nouvelle-Calédonie,2,False
215,University of Leeds,2,True
216,University of Bergen,2,True
217,HU Berlin,2,True
218,HZDR,2,True
219,Linköping University,2,True
220,Université Paris-Dauphine - Paris IX,2,False
221,Stuttgart U,2,True
222,Northumbria University,2,True
223,NILU - Norwegian Institute for Air Research,2,True
224,Mälardalen University,2,True
225,MDC,2,True
226,Queen's University Belfast,2,True
227,University of Southampton,2,True
228,TU Wien,2,True
229,Free University of Bozen-Bolzano,2,True
230,DESY,2,True
231,Centre Hospitalier Universitaire d'Amiens,2,False
232,Åbo Akademi University,2,True
233,Université de Montpellier - Paul Valéry,2,False
234,ENSICAEN - Ecole nationale supérieure de Caen,2,True
235,Marburg U,2,True
236,Mahidol University of Oxford Tropical Medicine Research Unit,2,True
237,Université Sorbonne Nouvelle - Paris III - USN,2,False
238,Konstanz U,2,True
239,Veneto Institute of Oncology IOV IRCCS,1,True
240,Aston University,1,True
241,Brunel University,1,True
242,Bonn U,1,True
243,University of Gävle,1,True
244,University of Leicester,1,True
245,TU Chemnitz,1,True
246,University of Eastern Finland,1,True
247,University of East Anglia,1,True
248,"University of Chemistry and Technology, Prague",1,True
249,University of Aberdeen,1,True
250,University of Basel,1,True
251,Università degli Studi di Modena e Reggio Emilia,1,True
252,University of Zurich,1,True
253,Rostock U,1,True
254,RPTU Kaiserslautern-Landau,1,True
255,University of Skövde,1,True
256,TiHo Hannover,1,True
257,Trier U,1,True
258,University Medical Center Hamburg-Eppendorf,1,True
259,University of Oulu,1,True
260,TU Ilmenau,1,True
261,Leibniz-IGB,1,True
262,Norwegian University of Science and Technology,1,True
263,Osnabrück U,1,True
264,Passau U,1,
265,Norwegian Institute for Nature Research,1,True
266,Siegen U,1,True
267,Salzburg U,1,True
268,Museum für Naturkunde Berlin,1,True
269,TU Berlin,1,True
270,University of Strathclyde,1,True
271,University of Tromsø - The Arctic University of Norway,1,True
272,University of Sussex,1,True
273,LSHTM,1,True
274,LSE,1,True
275,Karlstad University,1,True
276,Magdeburg U,1,True
277,Harvard U,1,True
278,HHU Düsseldorf,1,True
279,Leibniz-DPZ,1,True
280,Greifswald U,1,True
281,Lancaster University,1,True
282,Kiel U,1,True
283,Fraunhofer-Gesellschaft,1,True
284,IFW Dresden,1,True
285,Duisburg-Essen U,1,True
286,GSI,1,True
287,Friedrich-Schiller-Universität Jena,1,True
288,Fraunhofer-Gesellschaft Publishing Fund,1,True
289,Empa - Swiss Federal Laboratories for Materials Science and Technology,1,True
290,Catholic University of Eichstätt-Ingolstadt,1,True
291,ZHAW Zurich University of Applied Sciences,1,True
292,Örebro University,1,True
